basis,start_date,end_date,calendar_days,settled_days,total_pnl,mean_day_pnl,median_day_pnl,daily_pnl_stdev,annualized_pnl_mean_to_stdev,worst_day_pnl,pnl_es10,max_pnl_drawdown,gross_pnl,costs,annualized_zero_target_sortino,winning_day_fraction,profit_factor,best_day_fraction_of_total_pnl,top_five_days_fraction_of_total_pnl,ex_top_five_days_count,ex_top_five_total_pnl,ex_top_five_annualized_pnl_mean_to_stdev,latest_settled_date,fill_rate,proof_id
full_displayed_history,2026-01-01,2026-09-23,266,266,505978.8575432746,1902.1761561777,2106.48125,8949.4276100847,4.0607093571,-41303.1399923426,-15944.5185183868,-56068.0374964434,505978.8575432746,0,6.2379740992,0.6917293233,1.9245815884,0.0837168527,0.2922967092,261,358082.9025432746,3.2311033186,2026-09-23,0.911769616,cc141c5904226accf6618e3156532d0ac2d9822f4753d343de858e9f20a176a5
prospective_shadow,2026-09-22,2026-09-23,2,2,-26936.215,-13468.1075,-13468.1075,23297.9345387636,-11.0442336453,-29942.235,-29942.235,-29942.235,-26936.215,0,-12.1530081647,0.5,0.1003939753,,,0,,,2026-09-23,0.9925,31005d5d1f1e8d74d6b2e9997638ee43c44866be007af8f276baf2d709917a36
2026_h1,2026-01-01,2026-06-30,181,181,381364.4075432746,2106.9856770347,2410.2075,9891.0133353027,4.0697452803,-41303.1399923426,-17016.0934208654,-56068.0374964434,381364.4075432746,0,6.3954954801,0.6685082873,1.8956454898,0.1110721312,0.3878074411,176,233468.4525432746,2.8835310425,2026-06-30,0.8797365119,f5ce61c1e11548069d4930c419bd45876516312821fc1b053f4e3c069a3eac71
2026_h2_to_date,2026-07-01,2026-09-23,85,85,124614.45,1466.0523529412,2069.2475,6538.2588858505,4.2838454953,-29942.235,-11482.5433333333,-29942.235,124614.45,0,5.9915796494,0.7411764706,2.0260275095,0.1862020616,0.5699786421,80,53586.875,2.2211296243,2026-09-23,0.975436409,d7942a0b192a995ce09860a6a4bb4a76a19483f74a4c4124607949b7eac7864a
