basis,start_date,end_date,calendar_days,settled_days,pending_days,unavailable_days,total_modeled_pnl,mean_day_modeled_pnl,median_day_modeled_pnl,daily_modeled_pnl_stdev,annualized_modeled_pnl_mean_to_stdev,always_clear_annualized_modeled_pnl_mean_to_stdev,limit_delta_ratio,limit_increment_modeled_pnl,worst_day_modeled_pnl,modeled_pnl_es10,max_modeled_pnl_drawdown,placed_mw,awarded_mw,fill_rate,gross_modeled_pnl,modeled_costs,placed_physical_mwh,awarded_physical_mwh,settled_calendar_fraction,contiguous_settled_through,latest_settled_date,annualized_zero_target_sortino,winning_day_fraction,profit_factor,best_day_fraction_of_total_pnl,top_five_days_fraction_of_total_pnl,ex_top_five_days_count,ex_top_five_total_modeled_pnl,ex_top_five_annualized_pnl_mean_to_stdev,proof_id
full_displayed_history,2026-01-01,2026-09-23,266,266,0,0,470391.9725432748,1768.3908742228,2124.95,9381.4758232059,3.6012521751,3.8356635354,-0.2344113602,-41823.8625000894,-42607.4874999999,-17296.3856480164,-61762.4974999999,198080,180819,0.912858441,470391.9725432748,0,198080,180819,1,2026-09-23,2026-09-23,5.2789321956,0.6954887218,1.7908264792,0.0900503409,0.3144100317,261,322496.0175432747,2.7491288288,9d456476980ea247620074de571bf983e4f32ff49a36e47517337623e300e318
prospective_shadow,2026-09-22,2026-09-23,2,2,0,0,-26936.215,-13468.1075,-13468.1075,23297.9345387636,-11.0442336453,-11.0492605842,0.0050269388,42.76,-29942.235,-29942.235,-29942.235,1600,1588,0.9925,-26936.215,0,1600,1588,1,2026-09-23,2026-09-23,-12.1530081647,0.5,0.1003939753,,,0,,,6fe403cfa130c9467c3ced4cacf8c0095dc245a506d6ecdf85115c8f88ce1c41
2026_h1,2026-01-01,2026-06-30,181,181,0,0,377883.8800432747,2087.756243333,2418.8775,9913.0986135822,4.023618505,4.3167916101,-0.2931731051,-40172.3050000894,-41303.1399923426,-17016.0934208654,-56068.0374964434,130080,114411,0.8795433579,377883.8800432747,0,130080,114411,1,2026-06-30,2026-06-30,6.3149654231,0.6685082873,1.8732294463,0.1120951693,0.3913793703,176,229987.9250432746,2.8328741856,18874ad2dd75f6cbd130a549fdc552ca528b0428adf47332eb2c6db2cf5f027e
2026_h2_to_date,2026-07-01,2026-09-23,85,85,0,0,92508.0925000001,1088.3305,2098.3,8148.1207340907,2.5518184728,2.6188045775,-0.0669861047,-1651.5575,-42607.4874999999,-15929.1469444444,-61762.4974999998,68000,66408,0.9765882353,92508.0925000001,0,68000,66408,1,2026-09-23,2026-09-23,3.1624359899,0.7529411765,1.5707992201,0.2508263534,0.7677985037,80,21480.5175000001,0.6754523078,1c9ec4c7cda897eb2931692c5107956c7d1f1125962f9595723b2af969616d1d
