basis,start_date,end_date,calendar_days,settled_days,pending_days,unavailable_days,total_modeled_pnl,mean_day_modeled_pnl,median_day_modeled_pnl,daily_modeled_pnl_stdev,annualized_modeled_pnl_mean_to_stdev,always_clear_annualized_modeled_pnl_mean_to_stdev,limit_delta_ratio,limit_increment_modeled_pnl,worst_day_modeled_pnl,modeled_pnl_es10,max_modeled_pnl_drawdown,placed_mw,awarded_mw,fill_rate,gross_modeled_pnl,modeled_costs,placed_physical_mwh,awarded_physical_mwh,settled_calendar_fraction,contiguous_settled_through,latest_settled_date,annualized_zero_target_sortino,winning_day_fraction,profit_factor,best_day_fraction_of_total_pnl,top_five_days_fraction_of_total_pnl,ex_top_five_days_count,ex_top_five_total_modeled_pnl,ex_top_five_annualized_pnl_mean_to_stdev,proof_id
full_displayed_history,2026-01-01,2026-09-17,260,260,0,0,561219.6850000003,2158.53725,2129.67375,10539.2246363721,3.9128871127,3.9404004464,-0.0275133337,-14482.215,-28904.7725,-12208.3628846154,-72686.4400000001,174475,156796,0.8986731623,561219.6850000003,0,174475,156796,1,2026-09-17,2026-09-17,9.1317461224,0.6923076923,2.2058264017,0.2185718058,0.4122887234,255,329835.1375000001,3.7848415943,73f7885ee7a9f15fb6c5f9b43ff7b7da1f864db0d9a29c974c4cc502ce620721
prospective_shadow,2026-09-12,2026-09-17,4,4,0,0,4984.215,1246.05375,345.59125,1875.2755965485,12.6945732732,12.2885348404,0.4060384328,113.16,235.6675,235.6675,0,3200,2574,0.804375,4984.215,0,3200,2574,1,2026-09-17,2026-09-17,,1,,0.8140429335,1,0,,,b76647d596d3e9dc18c764fd91f188ebeeca419eaf4d574e6d0d2722f9f45be1
2026_h1,2026-01-01,2026-06-30,181,181,0,0,385002.7275000002,2127.0868922652,1912.955,12050.2577413254,3.3723708562,3.4358491333,-0.0634782771,-15124.9725,-28904.7725,-12813.6264473684,-72686.4400000001,115755,99300,0.8578463133,385002.7275000002,0,115755,99300,1,2026-06-30,2026-06-30,8.1891683722,0.6574585635,2.02096612,0.3186128077,0.5837121894,176,160271.9425000002,2.5213125525,ad1f1746988b864378c20cce89f482485be242c4676251b847bf612da14714de
2026_h2_to_date,2026-07-01,2026-09-17,79,79,0,0,176216.9575000001,2230.5943987342,2508.77,5807.0845056696,7.3385269509,7.2803397174,0.0581872336,642.7575,-14779.6625,-9331.1634375,-36863.835,58720,57496,0.9791553134,176216.9575000001,0,58720,57496,1,2026-09-17,2026-09-17,13.0282210306,0.7721518987,2.9950563423,0.1242750432,0.4335019659,74,99826.56,5.4169915517,a8c6cccb149050cf528f32ab9f7235e3fa70b654b1af987edaabeac80eedbc95
