period_start,period_end,status,calendar_days,settled_days,pending_days,unavailable_days,modeled_pnl,mean_day_modeled_pnl,worst_day_modeled_pnl,awarded_mw,placed_mw,fill_rate,proof_id
2026-01-01,2026-01-04,settled,4,4,0,0,7457.655,1864.41375,-3591.035,2823,3200,0.8821875,78660feb8c8a327815f3bcc70cbbbe6ae0ba5cc718998b519e58d03c0b33ff46
2026-01-05,2026-01-11,settled,7,7,0,0,9516.1275,1359.4467857143,-11504.02,3784,4320,0.8759259259,f0d5cb5b83c0f89502985af99208351d557cc2df2581caa68cfc0394bd6e5d23
2026-01-12,2026-01-18,settled,7,7,0,0,-3328.965,-475.5664285714,-9227.2175,5263,5600,0.9398214286,a1211a3c3f6211bface2b1eb1923d1590995b9238c6a47497b7a13d0a19e9236
2026-01-19,2026-01-25,settled,7,7,0,0,92886.505,13269.5007142857,2335.0875,3564,3680,0.9684782609,28fce50a7d51d4eca3d694c8bfc2c2ede37e30b7dd2383325f0ee869cbb42f82
2026-01-26,2026-02-01,settled,7,7,0,0,123753.7675,17679.1096428571,-16550.42,2242,2400,0.9341666667,bc1c1d5b05cced925fb7c1de384494045505a0b3d31546409ef808c8e5ddcaa5
2026-02-02,2026-02-08,settled,7,7,0,0,-23919.2699999999,-3417.0385714286,-26266.5225,3614,3680,0.9820652174,2fe8dbadfca224ee02540711286e07737a3c593968bf46e1be8d41c3c9aa0da1
2026-02-09,2026-02-15,settled,7,7,0,0,46566.28,6652.3257142857,-496.015,4627,5411,0.8551099612,d1c4e8667c82c8af22aac07872a606cb73b4513daa6112ff9bfa7def10481509
2026-02-16,2026-02-22,settled,7,7,0,0,22907.6425,3272.5203571429,-1496.915,3917,4581,0.8550534818,957c5acb29f5a2518f81447e7b81780baa6130080823a3a6ced2ca936f5b785c
2026-02-23,2026-03-01,settled,7,7,0,0,6696.4225,956.6317857143,-8243.945,4437,5600,0.7923214286,596541f3af0064f1c653740ef9af0d3a738af306570fc55249925bec79db62c9
2026-03-02,2026-03-08,settled,7,7,0,0,-28811.79,-4115.97,-12275.6125,4614,5600,0.8239285714,ddda89c38e91a2e95e8d743d23896e0ab4add50d98ddf7f47460c0e91f905325
2026-03-09,2026-03-15,settled,7,7,0,0,18488.505,2641.215,-7358.935,4323,5600,0.7719642857,d717ee5f2b18cf905243d8e7855c20cb8a542140db5abdb1e967dacdec8a58da
2026-03-16,2026-03-22,settled,7,7,0,0,31004.01,4429.1442857143,-4377.265,2570,3680,0.6983695652,8e730dffaad4e20ecd486e0455da749f1b6e1de2fde4cb4b7ff7b31dbacaf357
2026-03-23,2026-03-29,settled,7,7,0,0,12909.525,1844.2178571429,-310.585,1014,2383,0.4255140579,0d044a51f17af9692c85fbd6c2efa4061400e82c84af13ef2b44b2aea9fae4e5
2026-03-30,2026-04-05,settled,7,7,0,0,10864.885,1552.1264285714,-5465.36,2742,3929,0.6978875032,b107a3610d6088df34cb5600f9028c40e0f4a11c9c3148a6e218ea1b7be5daca
2026-04-06,2026-04-12,settled,7,7,0,0,10294.1325,1470.5903571429,-7657.06,4283,5600,0.7648214286,a8221b8029697b08298e27b207f71e7e6d03cde0bde2799de11513f0ad67fe10
2026-04-13,2026-04-19,settled,7,7,0,0,-13826.59,-1975.2271428571,-9690.375,1745,2790,0.6254480287,c757c0763674ced02cea1672a65e32ac3de655c31eccd266fe6c4db51a2e848c
2026-04-20,2026-04-26,settled,7,7,0,0,-26262.965,-3751.8521428571,-28904.7725,2792,3680,0.7586956522,ba984eac422f4fb70cebee473210bbec61db78a512dec15cd2b329ecac771f13
2026-04-27,2026-05-03,settled,7,7,0,0,-5307.66,-758.2371428571,-10056.96,2954,3040,0.9717105263,44af71506c7518684f6e5cc8885aafe1d9aa72828839ac009bf56cd7ac39a68a
2026-05-04,2026-05-10,settled,7,7,0,0,-4157.0125,-593.8589285714,-16391.83,2848,3327,0.8560264503,fc8c652de0006f5932734c45c0ce38037f32dbea3b701f8bd3620628f2e8e755
2026-05-11,2026-05-17,settled,7,7,0,0,9828.325,1404.0464285714,-8760.055,3805,4658,0.8168741949,df54aa5de7ea0294c058510f0d408aaa4be1c5c95d857cde32bfee733e02c29d
