period_start,period_end,status,calendar_days,settled_days,pending_days,unavailable_days,modeled_pnl,mean_day_modeled_pnl,worst_day_modeled_pnl,awarded_mw,placed_mw,fill_rate,proof_id
2026-05-18,2026-05-24,settled,7,7,0,0,23746.4525,3392.3503571429,-2479.3225,4470,4778,0.935537882,5a30a32c28c07f371adfbfa32ad81b714c85432c080f18152ad7397faea197f0
2026-05-25,2026-05-31,settled,7,7,0,0,-6094.7125,-870.6732142857,-7864.2225,5403,5541,0.9750947482,f6085c2f96939ad690a9d4303de05578a3f896737e4944d65ad6a5f1ff94bbe2
2026-06-01,2026-06-07,settled,7,7,0,0,10704.1975000001,1529.1710714286,-7918.5375,4905,4960,0.9889112903,76b68e8db037c240cf50ccb9315b72d9a4a356fbe59f7ff04cf61eac877f5aab
2026-06-08,2026-06-14,settled,7,7,0,0,10900.5925,1557.2275,-10819.5775,4245,4947,0.8580958156,f7bc4c1ad7e153c00422a47814d4e19916c6c790af6e4ad80bda9d8b362f4fad
2026-06-15,2026-06-21,settled,7,7,0,0,26251.8925,3750.2703571429,-6601.065,5488,5600,0.98,6f0563c6019ca18a72abb9281530f0af8d95c232b93d6fc5caa91377350aff28
2026-06-22,2026-06-28,settled,7,7,0,0,12785.1325,1826.4475,-3405.8625,5441,5570,0.9768402154,bdfa022763131152743c417c13788fe753bba24c766023e0a66e99c049a39e15
2026-06-29,2026-07-05,settled,7,7,0,0,44260.3574999999,6322.9082142857,3501.5825,5356,5600,0.9564285714,061bf5c85512255831b8bf0ab2eda608d0af91c3c69e04ab5ae9b4b75b8c4a53
2026-07-06,2026-07-12,settled,7,7,0,0,2258,322.5714285714,-7136.7225,5446,5600,0.9725,6b37fe59a10d40046c4b86e7c6c561b7fdc2b196118b2a4341c58aa324d9cdd1
2026-07-13,2026-07-19,settled,7,7,0,0,19695.2475,2813.6067857143,-1139.6725,5586,5600,0.9975,be60ff1fd178d68fa0449ba5bb0cbf4d3072ac15a0aedaa9991e6a50df6c5196
2026-07-20,2026-07-26,settled,7,7,0,0,17207.885,2458.2692857143,-9305.495,4263,4320,0.9868055556,d63e1e8d87f35f344df2d40ae0b16af16d230afe3801a2fba70343cb9c74adea
2026-07-27,2026-08-02,settled,7,7,0,0,15460.485,2208.6407142857,-14451.2825,4845,4960,0.9768145161,98f4ff48d84aaf8740e61e2714557695eeaa7fdf309f81665ff454b4fca34f6b
2026-08-03,2026-08-09,settled,7,7,0,0,-20444.7425,-2920.6775,-14779.6625,5600,5600,1,fc95f62281386ee1e34bfe781882b970e56a08aa09dd3961622393e63b1a78ae
2026-08-10,2026-08-16,settled,7,7,0,0,8289.0125,1184.1446428571,-12766.5425,5565,5600,0.99375,7e5d003556d48b6ab9dfab751b48a60376fb292b9ad8bbf1901b13187f0438e9
2026-08-17,2026-08-23,settled,7,7,0,0,20311.5025,2901.6432142857,-1032.0925,3659,3680,0.9942934783,ad14b40af01d28386c20232d536712932c233ea4147ad7993d20112ec4efd243
2026-08-24,2026-08-30,settled,7,7,0,0,41485.3325000001,5926.4760714286,-306.955,4952,4960,0.9983870968,be4dcade4e34908d7acf4a74ef9c89dd29b05a77c770a8dad227e09d1893397a
2026-08-31,2026-09-06,settled,7,7,0,0,18167.735,2595.3907142857,-3815.9525,5600,5600,1,aa99853b57b116db965d13e4404bcc44f6ce0244e24147bbc41f0bf90def0a78
2026-09-07,2026-09-09,settled,3,3,0,0,8340.2875,2780.0958333333,1172.5825,2400,2400,1,825659b519d38ddcf0c9d7beee4c748c6f0a96c08b28bfa260f02796e7adc6f0
