basis,start_date,end_date,calendar_days,settled_days,pending_days,unavailable_days,total_modeled_pnl,mean_day_modeled_pnl,median_day_modeled_pnl,daily_modeled_pnl_stdev,annualized_modeled_pnl_mean_to_stdev,always_clear_annualized_modeled_pnl_mean_to_stdev,limit_delta_ratio,limit_increment_modeled_pnl,worst_day_modeled_pnl,modeled_pnl_es10,max_modeled_pnl_drawdown,placed_mw,awarded_mw,fill_rate,gross_modeled_pnl,modeled_costs,placed_physical_mwh,awarded_physical_mwh,settled_calendar_fraction,contiguous_settled_through,latest_settled_date,annualized_zero_target_sortino,winning_day_fraction,profit_factor,best_day_fraction_of_total_pnl,top_five_days_fraction_of_total_pnl,ex_top_five_days_count,ex_top_five_total_modeled_pnl,ex_top_five_annualized_pnl_mean_to_stdev,proof_id
full_displayed_history,2026-01-01,2026-09-14,257,256,0,1,459985.8825,1796.8198535156,1814.74875,8208.5689270235,4.1819951085,4.4307400069,-0.2487448984,-31603.04,-21567.2125,-12284.3430769231,-78566.3224999999,173440,158988,0.9166743542,459985.8825,0,173440,158988,0.9961089494,2026-09-13,2026-09-13,7.8078375104,0.69140625,2.0051479302,0.1628048063,0.3266525142,251,309730.3375,3.624940427,3c48c4bf0c1ca336abcb83eaf8ae7a1695c653536becc3da41275990de0d7e8b
prospective_shadow,2026-09-12,2026-09-14,3,2,0,1,2183.64,1091.82,1091.82,578.0456514844,36.0857170327,39.1936878588,-3.1079708261,98.92,683.08,683.08,0,1600,1048,0.655,2183.64,0,1600,1048,0.6666666667,2026-09-13,2026-09-13,,1,,0.687182869,1,0,,,2ecc2393babbf59927aeef87df03eda34be4479b2c40523e85c820deea154439
2026_h1,2026-01-01,2026-06-30,181,181,0,0,312118.8825,1724.4137154696,1672.145,9253.9126332539,3.5601025298,3.8339024653,-0.2737999356,-27328,-21567.2125,-13106.8514473684,-78566.3224999999,117920,105502,0.8946913161,312118.8825,0,117920,105502,1,2026-06-30,2026-06-30,6.7502856908,0.6574585635,1.8135969197,0.2399339377,0.4796611032,176,162407.595,2.4905233064,f7a30625a404db24d09a6be2e063a6bede21c23ef30f0adfd207d801ab664a9b
2026_h2_to_date,2026-07-01,2026-09-14,76,75,0,1,147867,1971.56,2662.7275,4883.1386311327,7.7136046623,7.9452902008,-0.2316855385,-4275.04,-14839.9625,-8011.3184375,-31065.4725,55520,53486,0.9633645533,147867,0,55520,53486,0.9868421053,2026-09-13,2026-09-13,12.9219768576,0.7733333333,2.9981584867,0.1147395125,0.391119435,70,90033.3425,5.8420870375,3757c758eac18108fa8e075bb9ad357ba0b2157ae2f815a3b045bee01ae90f5a
