period_start,period_end,status,calendar_days,settled_days,pending_days,unavailable_days,modeled_pnl,mean_day_modeled_pnl,worst_day_modeled_pnl,awarded_mw,placed_mw,fill_rate,proof_id
2026-01-01,2026-01-04,settled,4,4,0,0,12042.9075,3010.726875,-1706.94,2833,3200,0.8853125,397045e7c4a79b32d1a17ee7f8cbf152b4a71d48a198b5c4fc98af2ed3b4676c
2026-01-05,2026-01-11,settled,7,7,0,0,918.3925,131.1989285714,-18908.44,4056,4320,0.9388888889,08afeb62119d151c982a685383c00d1c0448ad36ed82f60b6d772283020436d3
2026-01-12,2026-01-18,settled,7,7,0,0,23614.6125,3373.5160714286,-11995.16,5419,5600,0.9676785714,3ec5f51c7110cf47bcbb1609d70fe5baf701f6d7641912914038eaec87ae4dfc
2026-01-19,2026-01-25,settled,7,7,0,0,65369.6875,9338.5267857143,1615.8425,3521,3680,0.9567934783,ef995a5d3fcb53596c0c629c99a2a598c5b51de28f9c4ca65674c96128716d36
2026-01-26,2026-02-01,settled,7,7,0,0,81604.835,11657.8335714286,-6378.505,1992,2400,0.83,746816e21c3564e8d1d1a93a8ae47797ec8c6d9dd39e7b3c262ba2cf58cd8f3f
2026-02-02,2026-02-08,settled,7,7,0,0,-18278.66,-2611.2371428571,-21567.2125,3616,3680,0.9826086957,5777190891764be34f0091636baa2c1ee301d9dbf481eb51d89569ba190f8310
2026-02-09,2026-02-15,settled,7,7,0,0,26490.4175,3784.3453571429,-2187.1175,5076,5600,0.9064285714,3df8b87c9486e1e8a1d71c6fa37b778c6d77f3cfcd0ac147ca067573dad49b11
2026-02-16,2026-02-22,settled,7,7,0,0,19233.17,2747.5957142857,-8574.08,4559,4960,0.9191532258,390b53d2cc865cf468767da0a24df5f3d4b98d7fe0bbd339a83efd6f8ee2934f
2026-02-23,2026-03-01,settled,7,7,0,0,19168.5125,2738.3589285714,1266.7675,4110,5600,0.7339285714,7e3216e61ea30c35f7fedd92f54bd773c65fd54a9b328dd88595b12b41ec969e
2026-03-02,2026-03-08,settled,7,7,0,0,-29447.615,-4206.8021428571,-10626.1075,4679,5600,0.8355357143,710e3d693925684c6f9983c41a09c0c8db7aea51517e51a980c8cb285b372426
2026-03-09,2026-03-15,settled,7,7,0,0,23687.2375,3383.8910714286,-9991.375,4834,5600,0.8632142857,2e8a0f4a9309df5fc093e1cb86b375b8803437775b41e9bfafe1b3bb01f52296
2026-03-16,2026-03-22,settled,7,7,0,0,20826.4225,2975.2032142857,-394.4175,2741,3680,0.7448369565,a6372fa37de98353ff08dd2563754ad83b87f1d35b07904f80fdf1df0ddf443e
2026-03-23,2026-03-29,settled,7,7,0,0,8692.0425,1241.7203571429,-147.185,1468,2400,0.6116666667,0fac85fce1baf8edf5c006f75da92bc6243a0c3ca1e3212d41a2ba6a75e88266
2026-03-30,2026-04-05,settled,7,7,0,0,22437.215,3205.3164285714,-2194.7975,3251,4320,0.7525462963,8e7d7a3a33e2b69c87bd3b2568a92794bcdd70638a7a70a06fb5a37014079ea3
2026-04-06,2026-04-12,settled,7,7,0,0,10241.2475,1463.0353571429,-4864.105,4658,5600,0.8317857143,d6b353dc22abf76838b64a8587f285544ed1e92692b18aae8113aca78e810b18
2026-04-13,2026-04-19,settled,7,7,0,0,-16817.08,-2402.44,-14325.9725,2662,3040,0.8756578947,37bd026a63c33d773f6bb79a43a1510e3486621f3e140bb51a185e148beb8c2d
2026-04-20,2026-04-26,settled,7,7,0,0,-28908.4375,-4129.7767857143,-15844.7775,3344,3680,0.9086956522,cb33052bd1f4ca269cb07f1b9a87fd33901d18b00bebe98fb3e83675e11704b0
