basis,start_date,end_date,calendar_days,settled_days,pending_days,unavailable_days,total_modeled_pnl,mean_day_modeled_pnl,median_day_modeled_pnl,daily_modeled_pnl_stdev,annualized_modeled_pnl_mean_to_stdev,always_clear_annualized_modeled_pnl_mean_to_stdev,limit_delta_ratio,limit_increment_modeled_pnl,worst_day_modeled_pnl,modeled_pnl_es10,max_modeled_pnl_drawdown,placed_mw,awarded_mw,fill_rate,gross_modeled_pnl,modeled_costs,placed_physical_mwh,awarded_physical_mwh,settled_calendar_fraction,contiguous_settled_through,latest_settled_date,annualized_zero_target_sortino,winning_day_fraction,profit_factor,best_day_fraction_of_total_pnl,top_five_days_fraction_of_total_pnl,ex_top_five_days_count,ex_top_five_total_modeled_pnl,ex_top_five_annualized_pnl_mean_to_stdev,proof_id
full_displayed_history,2026-01-01,2026-09-19,262,262,0,0,555119.0475000002,2118.774990458,2108.10375,10509.139153054,3.8518035365,3.8792753228,-0.0274717863,-14384.49,-28904.7725,-12028.7544444444,-72686.4400000001,175435,157744,0.8991592328,555119.0475000002,0,175435,157744,1,2026-09-19,2026-09-19,8.9796427358,0.6870229008,2.1772871344,0.2209738624,0.4168196868,257,323734.5000000001,3.6935157623,95959b66b6c24c13060c7df9191ae5f9c728985c9e2778e76d0d178cb452f74b
prospective_shadow,2026-09-12,2026-09-19,6,6,0,0,-1116.4225,-186.0704166667,268.38375,2763.4692554059,-1.2863795434,-1.5158404002,0.2294608568,210.885,-4279.5625,-4279.5625,-6100.6375,4160,3522,0.8466346154,-1116.4225,0,4160,3522,1,2026-09-19,2026-09-19,-1.8722394698,0.6666666667,0.8169990431,,,1,-4279.5625,,99baf5424fddf81569483bd53cae8aabd7be016d4561b9770ad904b61b2f2199
2026_h1,2026-01-01,2026-06-30,181,181,0,0,385002.7275000002,2127.0868922652,1912.955,12050.2577413254,3.3723708562,3.4358491333,-0.0634782771,-15124.9725,-28904.7725,-12813.6264473684,-72686.4400000001,115755,99300,0.8578463133,385002.7275000002,0,115755,99300,1,2026-06-30,2026-06-30,8.1891683722,0.6574585635,2.02096612,0.3186128077,0.5837121894,176,160271.9425000002,2.5213125525,ad1f1746988b864378c20cce89f482485be242c4676251b847bf612da14714de
2026_h2_to_date,2026-07-01,2026-09-19,81,81,0,0,170116.3200000001,2100.2014814815,2470.6775,5796.2864792764,6.9224137054,6.8619172414,0.0604964641,740.4825,-14779.6625,-8769.8744444444,-36863.835,59680,58444,0.9792895442,170116.3200000001,0,59680,58444,1,2026-09-19,2026-09-19,12.2649946189,0.7530864198,2.801555893,0.1287317407,0.4490480249,76,93725.9225,4.9587711234,21450961656beb077afa6815acdcfbc38602ad495054a798c794312d045ead72
